X,Y,OBJECTID,OID_,Estación,Metro,Líneas
-3.709422222,40.41809167,1,0,Ópera,Metro de Madrid,L0 - L2 - L5
-3.718674052,40.42138187,2,0,Príncipe Pío,Metro de Madrid,L0 - L6 - L10
-3.667139917,40.48028303,3,0,Pinar de Chamartín,Metro de Madrid,L1 - L4
-3.676641667,40.47555833,4,0,Bambú,Metro de Madrid,L1
-3.68355925,40.47360087,5,0,Chamartín,Metro de Madrid,L1 - L10
-3.689683013,40.46613219,6,0,Plaza de Castilla,Metro de Madrid,L1 - L9 - L10
-3.695058333,40.46441944,7,0,Valdeacederas,Metro de Madrid,L1
-3.69825,40.46055556,8,0,Tetuán,Metro de Madrid,L1
-3.703022222,40.45428611,9,0,Estrecho,Metro de Madrid,L1
-3.703311111,40.45033611,10,0,Alvarado,Metro de Madrid,L1
-3.703959587,40.44685071,11,0,Cuatro Caminos,Metro de Madrid,L1 - L2 - L6
-3.701583333,40.44192222,12,0,Ríos Rosas,Metro de Madrid,L1
-3.698681759,40.4350032,13,0,Iglesia,Metro de Madrid,L1
-3.702113747,40.42890788,14,0,Bilbao,Metro de Madrid,L1 - L4
-3.701249735,40.42626122,15,0,Tribunal,Metro de Madrid,L1 - L10
-3.70168045,40.41999494,16,0,Gran Vía,Metro de Madrid,L1 - L5
-3.703578167,40.41688313,17,0,Sol,Metro de Madrid,L1 - L2 - L3
-3.704644386,40.41247212,18,0,Tirso de Molina,Metro de Madrid,L1
-3.699396042,40.41234271,19,0,Antón Martín,Metro de Madrid,L1
-3.692142158,40.40918662,20,0,Atocha,Metro de Madrid,L1
-3.688673981,40.40701771,21,0,Atocha Renfe,Metro de Madrid,L1
-3.681116864,40.4042944,22,0,Menéndez Pelayo,Metro de Madrid,L1
-3.6748505,40.4012144,23,0,Pacífico,Metro de Madrid,L1 - L6
-3.669055556,40.39819722,24,0,Puente de Vallecas,Metro de Madrid,L1
-3.664138889,40.39553889,25,0,Nueva Numancia,Metro de Madrid,L1
-3.658680556,40.39266111,26,0,Portazgo,Metro de Madrid,L1
-3.653908333,40.39156389,27,0,Buenos Aires,Metro de Madrid,L1
-3.645219444,40.389775,28,0,Alto del Arenal,Metro de Madrid,L1
-3.639505556,40.38731667,29,0,Miguel Hernández,Metro de Madrid,L1
-3.624719444,40.38216389,30,0,Sierra de Guadalupe,Metro de Madrid,L1
-3.621302778,40.37959722,31,0,Villa de Vallecas,Metro de Madrid,L1
-3.618844444,40.37238333,32,0,Congosto,Metro de Madrid,L1
-3.613466667,40.37018889,33,0,La Gavia,Metro de Madrid,L1
-3.599233897,40.36357851,34,0,Las Suertes,Metro de Madrid,L1
-3.591628133,40.3598401,35,0,Valdecarros,Metro de Madrid,L1
-3.600969843,40.42282145,36,0,Las Rosas,Metro de Madrid,L2
-3.611669444,40.42255,37,0,Avenida de Guadalajara,Metro de Madrid,L2
-3.623826268,40.41813341,38,0,Alsacia,Metro de Madrid,L2
-3.642258333,40.42513889,39,0,La Almudena,Metro de Madrid,L2
-3.650444404,40.42720126,40,0,La Elipa,Metro de Madrid,L2
-3.662586267,40.43098208,41,0,Ventas,Metro de Madrid,L2 - L5
-3.668805624,40.42808125,42,0,Manuel Becerra,Metro de Madrid,L2 - L6
-3.675884839,40.42477213,43,0,Goya,Metro de Madrid,L2 - L4
