title,type,price,private_owner,professional_name,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,postalcode
"Flat / apartment for rent in pablo luna, 4",Flat,1400,False,Silcasas Ochocientas,60,,3rd,1954.0,,2,1,True,True,False,True,True,False,False,False,False,"pablo luna, 4, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28046.0
Penthouse for rent in calle de Bolivia,Penthouse,1300,False,Cruzity,77,,6th,1961.0,,2,2,True,True,False,True,False,False,False,False,False,"Calle de Bolivia, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Duplex for rent in calle de la constancia,Duplex,950,False,Mm Home,72,68.0,3rd,1999.0,east,1,1,True,True,False,True,True,False,False,False,False,"Calle de la constancia, Urb. no, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in Urb. el viso, El Viso",Flat,2975,False,B&H Partners,160,,3rd,,west,4,3,True,True,True,True,True,False,False,True,False,"Urb. el viso, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Studio flat for rent in luis cabrera,Studio,650,False,Madrid en Propiedad,30,,4th,,,0,1,True,True,False,True,False,True,False,False,False,"luis cabrera, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle de Nieremberg,Flat,1200,False,Extra Inmobiliaria,54,47.0,4th,2009.0,west,1,1,True,True,False,True,False,False,True,True,False,"Calle de Nieremberg, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de vinaroz, 26",Flat,1290,False,Youhomey,55,50.0,ground,,north,2,1,True,True,False,True,True,False,False,False,False,"Calle de vinaroz, 26, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Ramos Carrión, 4",Flat,900,False,TECNOCASA PROSPERIDAD,35,,1st,1970.0,west,1,1,True,True,False,True,False,False,False,False,False,"Calle de Ramos Carrión, 4, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
" Terraced house for rent in calle de la Madre de Dios, Madrid",Terraced,3895,False,Ivory Homes,141,140.0,141,,,4,4,True,False,False,True,True,False,False,False,False,"Calle de la Madre de Dios, Madrid, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28016.0
Flat / apartment for rent in calle de Pastora Imperio,Flat,1750,False,PUBLICASA MADRID,148,,5th,,east,3,2,True,True,True,True,True,False,False,True,False,"Calle de Pastora Imperio, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Studio flat for rent in Nueva España,Studio,700,False,Vivienda2,37,,3rd,,south,0,1,True,True,False,True,False,False,True,False,False,", Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in calle Canillas,Flat,830,False,Galota Inversion e inmobiliaria,50,,5th,,,1,1,True,True,False,True,True,False,False,False,False,"Calle Canillas, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Canillas, 97",Flat,1200,True,,60,55.0,3rd,,north,1,1,True,True,False,True,True,False,False,False,False,"Calle de Canillas, 97, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Penthouse for rent in Ciudad Jardín,Penthouse,725,False,NUCO REAL ESTATE,65,28.0,4th,1970.0,west,0,1,True,True,False,True,True,False,False,False,False,", Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in calle de Gabriel Lobo, 20",Flat,1490,False,roomless,65,55.0,1st,1990.0,south,3,1,True,True,False,True,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Gabriel Lobo, 20",Flat,1290,False,roomless,65,55.0,4th,1990.0,south,3,1,True,True,False,True,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Gabriel Lobo, 20",Flat,1290,False,roomless,60,50.0,4th,1990.0,south,2,1,True,True,False,True,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Gabriel Lobo, 20",Flat,1130,False,roomless,60,50.0,4th,1990.0,south,2,1,True,True,False,True,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Gabriel Lobo, 20",Flat,1030,False,roomless,60,50.0,1st,1990.0,south,1,1,True,True,False,True,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle de Gabriel Lobo, 20",Flat,900,False,roomless,50,40.0,4th,1990.0,south,1,1,True,True,False,True,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in calle de Cartagena,Flat,1050,False,Engel & Völkers Madrid,82,75.0,82,1940.0,west,3,1,True,True,False,True,False,True,True,True,False,"Calle de Cartagena, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in calle de Pastora Imperio,Flat,1400,False,Redpiso,115,100.0,6th,,,3,2,True,True,True,True,True,True,False,True,False,"Calle de Pastora Imperio, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
Duplex for rent in Bernabéu-Hispanoamérica,Duplex,3500,False,Inmobiliaria Internacional CPM,252,210.0,252,1968.0,south,3,3,True,True,False,True,True,False,False,False,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28036.0
"Flat / apartment for rent in calle Mantuano, 4",Flat,1850,False,roomless,90,80.0,1st,1990.0,south,4,1,True,True,False,True,False,False,False,False,False,"Calle Mantuano, 4, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
Flat / apartment for rent in El Viso,Flat,950,False,Spotahome,28,24.0,ground,,,1,1,True,True,False,True,False,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in Prosperidad,Flat,900,False,Spotahome,68,59.0,ground,,,3,1,True,True,False,True,False,False,False,False,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
Flat / apartment for rent in El Viso,Flat,1190,False,Spotahome,47,41.0,ground,,,2,1,True,True,False,True,False,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,
"Flat / apartment for rent in calle de López de Hoyos, 153",Flat,1425,True,,87,,3rd,,east,2,2,True,True,True,True,False,False,True,True,False,"Calle de López de Hoyos, 153, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
" Semi-detached house for rent in calle pinarillo, 10",Semi-detached,1750,True,,120,100.0,120,,north,2,2,True,False,False,True,True,False,True,False,False,"Calle pinarillo, 10, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
"Flat / apartment for rent in calle Martín Martínez, 4",Flat,730,False,Cuzco Casa Inmobiliaria,35,,2nd,,east,1,1,True,True,False,True,False,False,False,True,False,"Calle Martín Martínez, 4, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,28002.0
