titulo,zona,latitud,longitud,direccion_usada,geocoding_ok
"Piso en calle de San Marcelo, 22, Ventas, Madrid",ciudad-lineal,40.4269541,-3.655905,"calle de San Marcelo, 22, Ventas, Madrid, España",True
"Piso en calle Cabo Nicolás Mur, San Isidro, Madrid",carabanchel,40.3948877,-3.7334918,"calle Cabo Nicolás Mur, San Isidro, Madrid, España",True
"Piso en calle de Rodas, Lavapiés-Embajadores, Madrid",centro,40.0626875,-3.5995729,"calle de Rodas, Madrid, España",True
"Piso en calle de Ferroviarios, Almendrales, Madrid",usera,40.3836301,-3.7047708,"calle de Ferroviarios, Almendrales, Madrid, España",True
"Dúplex en Bellas Vistas, Madrid",tetuan,40.4526848,-3.7072396,"Bellas Vistas, Madrid, España",True
"Piso en Mazarredo, 18, Imperial, Madrid",arganzuela,40.4129316,-3.7183856,"Mazarredo, 18, Imperial, Madrid, España",True
"Piso en calle de Núñez de Balboa, Recoletos, Madrid",barrio-de-salamanca,40.4276778,-3.6825696,"calle de Núñez de Balboa, Recoletos, Madrid, España",True
"Piso en calle de Rodríguez Espinosa, s/n, Palomeras Bajas, Madrid",puente-de-vallecas,40.3853367,-3.6579829,"Palomeras Bajas, Madrid, España",True
"Chalet adosado en calle de la Isla de Alegranza, 51, Ciudad Universitaria, Madrid",moncloa,40.4438005,-3.7264206,"Ciudad Universitaria, Madrid, España",True
"Piso en Blanca de Navarra, 4, Almagro, Madrid",chamberi,40.428839,-3.6928355,"Blanca de Navarra, 4, Almagro, Madrid, España",True
"Piso en calle de Jaime el Conquistador, Chopera, Madrid",arganzuela,40.3983046,-3.6978545,"calle de Jaime el Conquistador, Chopera, Madrid, España",True
"Chalet adosado en paseo de los Cerezos, Bernabéu-Hispanoamérica, Madrid",chamartin,40.453057,-3.6883531,"Bernabéu-Hispanoamérica, Madrid, España",True
"Piso en calle Horizón, 3, Orcasitas, Madrid",usera,40.3651146,-3.7084991,"calle Horizón, 3, Orcasitas, Madrid, España",True
"Piso en calle del Vizconde de Matamala, 26, Fuente del Berro, Madrid",barrio-de-salamanca,40.4259702,-3.6634566,"calle del Vizconde de Matamala, 26, Fuente del Berro, Madrid, España",True
"Piso en calle Pico de la Maliciosa, Numancia, Madrid",puente-de-vallecas,40.3934887,-3.6571645,"calle Pico de la Maliciosa, Numancia, Madrid, España",True
"Piso en calle de Sáhara, 46, Los Rosales, Madrid",villaverde,40.3571948,-3.6894484,"Los Rosales, Madrid, España",True
"Piso en calle de Goya, Goya, Madrid",barrio-de-salamanca,40.4248256,-3.6764798,"calle de Goya, Goya, Madrid, España",True
"Piso en calle de la Isla de Sumatra, 51, Tres Olivos - Valverde, Madrid",fuencarral,40.4953796,-3.6855794,"calle de la Isla de Sumatra, 51, Madrid, España",True
"Piso en calle del Doctor Castelo, Ibiza, Madrid",retiro,40.4201916,-3.6726466,"calle del Doctor Castelo, Ibiza, Madrid, España",True
"Piso en calle de Medellín, Trafalgar, Madrid",chamberi,40.436301,-3.7000381,"calle de Medellín, Trafalgar, Madrid, España",True
"Piso en calle del Corregidor Señor de la Elipa, Marroquina, Madrid",moratalaz,40.4104727,-3.6513383,"calle del Corregidor Señor de la Elipa, Marroquina, Madrid, España",True
"Piso en Lista, Madrid",barrio-de-salamanca,40.4326938,-3.6745087,"Lista, Madrid, España",True
"Piso en calle de Marcenado, Ciudad Jardín, Madrid",chamartin,40.4469302,-3.6732524,"calle de Marcenado, Ciudad Jardín, Madrid, España",True
"Ático en Aravaca, Madrid",moncloa,40.457749,-3.7827941,"Aravaca, Madrid, España",True
"Piso en calle del Prado, Huertas-Cortes, Madrid",centro,40.4144654,-3.7007588,"calle del Prado, Madrid, España",True
"Piso en Buena Vista, Madrid",carabanchel,40.3652536,-3.7513648,"Buena Vista, Madrid, España",True
"Piso en calle de Caleruega, 51, Costillares, Madrid",ciudad-lineal,40.481261,-3.6721657,"calle de Caleruega, 51, Costillares, Madrid, España",True
"Piso en avenida de Pío XII, Castilla, Madrid",chamartin,40.472933,-3.6768589,"avenida de Pío XII, Castilla, Madrid, España",True
"Piso en calle de Ávila, Cuatro Caminos, Madrid",tetuan,40.4526826,-3.7005423,"calle de Ávila, Cuatro Caminos, Madrid, España",True
"Piso en calle Mayor, Palacio, Madrid",centro,40.4152079,-3.712365,"calle Mayor, Palacio, Madrid, España",True
"Chalet adosado en calle Pilar de Andrade. 23 -, 25, El Plantío, Madrid",moncloa,40.4700616,-3.8206858,"El Plantío, Madrid, España",True
"Piso en calle de Castelló, Castellana, Madrid",barrio-de-salamanca,40.4331201,-3.6808697,"calle de Castelló, Castellana, Madrid, España",True
"Piso en calle del León, Huertas-Cortes, Madrid",centro,40.4142817,-3.6987325,"calle del León, Madrid, España",True
"Piso en calle de Ayala, Goya, Madrid",barrio-de-salamanca,40.4274919,-3.6791713,"calle de Ayala, Goya, Madrid, España",True
"Ático en Almagro, Madrid",chamberi,40.4336632,-3.6942857,"Almagro, Madrid, España",True
"Piso en calle Azagra, 14, Pinar del Rey, Madrid",hortaleza,40.4750689,-3.6469202,"calle Azagra, 14, Pinar del Rey, Madrid, España",True
"Piso en avenida de Niceto Alcalá Zamora, Sanchinarro, Madrid",hortaleza,40.4961565,-3.6518853,"avenida de Niceto Alcalá Zamora, Sanchinarro, Madrid, España",True
"Piso en calle de Hermosilla, Recoletos, Madrid",barrio-de-salamanca,40.4262948,-3.6832676,"calle de Hermosilla, Recoletos, Madrid, España",True
"Piso en calle de Diego de León, Lista, Madrid",barrio-de-salamanca,40.434709,-3.6785686,"calle de Diego de León, Lista, Madrid, España",True
"Piso en avenida de Hellín, Hellín, Madrid",san-blas,40.4314412,-3.6159824,"avenida de Hellín, Hellín, Madrid, España",True
"Piso en calle de Segovia, Imperial, Madrid",arganzuela,40.4139698,-3.7207156,"calle de Segovia, Imperial, Madrid, España",True
"Estudio en calle de la Princesa, 12, Malasaña-Universidad, Madrid",centro,40.4257748,-3.7125606,"calle de la Princesa, 12, Madrid, España",True
"Piso en calle de Cardenal Mendoza, Puerta del Ángel, Madrid",latina,40.4093544,-3.7337422,"Puerta del Ángel, Madrid, España",True
"Piso en de Evangelina Sobredo Galanes, s/n, Valdemarín, Madrid",moncloa,40.4632606,-3.7725203,"de Evangelina Sobredo Galanes, Madrid, España",True
"Piso en calle del General Ricardos, Opañel, Madrid",carabanchel,40.3907917,-3.7283143,"calle del General Ricardos, Opañel, Madrid, España",True
"Piso en calle de Tablada, Berruguete, Madrid",tetuan,40.4602916,-3.7016321,"calle de Tablada, Berruguete, Madrid, España",True
"Casa o chalet independiente en calle Castillo de Aysa, Conde Orgaz-Piovera, Madrid",hortaleza,40.4566911,-3.6475883,"Conde Orgaz-Piovera, Madrid, España",True
"Ático en calle del León, 10, Huertas-Cortes, Madrid",centro,40.4141449,-3.6989258,"calle del León, 10, Madrid, España",True
"Dúplex en calle de Embajadores, Lavapiés-Embajadores, Madrid",centro,40.4063191,-3.7033037,"calle de Embajadores, Lavapiés-Embajadores, Madrid, España",True
"Piso en calle de Villaamil, 41, Berruguete, Madrid",tetuan,40.459365,-3.7075498,"calle de Villaamil, 41, Berruguete, Madrid, España",True
"Piso en Argüelles, Madrid",moncloa,40.4307266,-3.7161715,"Argüelles, Madrid, España",True
"Ático en Comillas, Madrid",carabanchel,40.3937574,-3.7116516,"Comillas, Madrid, España",True
"Piso en Alonso Cano, 68, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4423982,-3.6974621,"Alonso Cano, 68, Madrid, España",True
"Piso en calle Gustavo Pérez Puig, s/n, Valdebebas - Valdefuentes, Madrid",hortaleza,40.4899361,-3.6065757,"calle Gustavo Pérez Puig, Madrid, España",True
"Piso en Recoletos, Madrid",barrio-de-salamanca,40.4243637,-3.6857429,"Recoletos, Madrid, España",True
"Piso en calle de Pedro de Valdivia, El Viso, Madrid",chamartin,40.4390638,-3.6890282,"calle de Pedro de Valdivia, El Viso, Madrid, España",True
"Piso en calle de Francisco Madariaga, 16, Pueblo Nuevo, Madrid",ciudad-lineal,40.4348524,-3.6414886,"calle de Francisco Madariaga, 16, Pueblo Nuevo, Madrid, España",True
"Piso en calle de Amado Nervo, Niño Jesús, Madrid",retiro,40.4093292,-3.6746037,"calle de Amado Nervo, Niño Jesús, Madrid, España",True
"Piso en calle de Bravo Murillo, Cuatro Caminos, Madrid",tetuan,40.4505343,-3.7034376,"calle de Bravo Murillo, Cuatro Caminos, Madrid, España",True
"Piso en Nueva España, Madrid",chamartin,40.4625939,-3.6787346,"Nueva España, Madrid, España",True
"Piso en calle del Divino Pastor, Malasaña-Universidad, Madrid",centro,40.4276387,-3.7039648,"calle del Divino Pastor, Malasaña-Universidad, Madrid, España",True
"Piso en calle Antonio López Aguado, 9, La Paz, Madrid",fuencarral,40.4814786,-3.702755,"calle Antonio López Aguado, 9, La Paz, Madrid, España",True
"Piso en calle de Fernando el Católico, Gaztambide, Madrid",chamberi,40.4341362,-3.7112885,"calle de Fernando el Católico, Gaztambide, Madrid, España",True
"Piso en calle de Espronceda, Nuevos Ministerios-Ríos Rosas, Madrid",chamberi,40.4405476,-3.6959013,"calle de Espronceda, Madrid, España",True
"Piso en calle de Baracaldo, Valdeacederas, Madrid",tetuan,40.4702154,-3.6999212,"calle de Baracaldo, Valdeacederas, Madrid, España",True
"Ático en avenida del Doctor Arce, El Viso, Madrid",chamartin,40.4474957,-3.6805514,"avenida del Doctor Arce, El Viso, Madrid, España",True
"Casa o chalet independiente en calle Lamiaco, El Plantío, Madrid",moncloa,40.4700616,-3.8206858,"El Plantío, Madrid, España",True
"Piso en Vista Alegre, Madrid",carabanchel,40.3877922,-3.7396538,"Vista Alegre, Madrid, España",True
"Piso en calle de Fuencarral, Chueca-Justicia, Madrid",centro,40.4218831,-3.7009642,"calle de Fuencarral, Chueca-Justicia, Madrid, España",True
"Piso en Campo de las Naciones-Corralejos, Madrid",barajas,40.4733176,-3.5798446,"barajas, Madrid, España",True
"Piso en calle de Lagasca, Recoletos, Madrid",barrio-de-salamanca,40.4278008,-3.6850818,"calle de Lagasca, Recoletos, Madrid, España",True
"Piso en Malasaña-Universidad, Madrid",centro,40.4251415,-3.7078316,"Malasaña-Universidad, Madrid, España",True
"Piso en calle Dulce Chacón, 25, Virgen del Cortijo - Manoteras, Madrid",hortaleza,40.3223569,-3.7385445,"calle Dulce Chacón, 25, Madrid, España",True
"Piso en calle de Joaquín Lorenzo, Peñagrande, Madrid",fuencarral,40.4745355,-3.7290706,"calle de Joaquín Lorenzo, Peñagrande, Madrid, España",True
"Piso en avenida de Entrevías, 96, Entrevías, Madrid",puente-de-vallecas,40.3777403,-3.663649,"avenida de Entrevías, 96, Entrevías, Madrid, España",True
"Ático en calle la Escuela de Vallecas, 58, Ensanche de Vallecas - La Gavia, Madrid",villa-de-vallecas,40.3581027,-3.590023,"calle la Escuela de Vallecas, 58, Madrid, España",True
"Piso en calle de Fuentidueña, Casco Histórico de Vallecas, Madrid",villa-de-vallecas,40.3746228,-3.6234809,"calle de Fuentidueña, Casco Histórico de Vallecas, Madrid, España",True
"Piso en calle Moreno, Puerta Bonita, Madrid",carabanchel,40.3783339,-3.7407337,"calle Moreno, Puerta Bonita, Madrid, España",True
"Piso en Niño Jesús, Madrid",retiro,40.4110941,-3.6737205,"Niño Jesús, Madrid, España",True
"Dúplex en calle del Poeta Joan Maragall, Cuatro Caminos, Madrid",tetuan,40.4530336,-3.6926021,"calle del Poeta Joan Maragall, Cuatro Caminos, Madrid, España",True
"Piso en calle de los Jaramagos, Valdeacederas, Madrid",tetuan,40.4679108,-3.7034226,"Valdeacederas, Madrid, España",True
"Piso en calle de la Cal, 15, 12 de Octubre-Orcasur, Madrid",usera,40.380831,-3.6927578,"calle de la Cal, 15, Madrid, España",True
"Ático en calle de García de Paredes, Trafalgar, Madrid",chamberi,40.437111,-3.7036122,"calle de García de Paredes, Trafalgar, Madrid, España",True
"Ático en de la Democracia, 26, Santa Eugenia, Madrid",villa-de-vallecas,40.3891416,-3.6225529,"de la Democracia, 26, Santa Eugenia, Madrid, España",True
"Piso en calle del General Oraá, 69, Lista, Madrid",barrio-de-salamanca,40.435891,-3.6768482,"calle del General Oraá, 69, Lista, Madrid, España",True
"Piso en calle de los Herbolarios, Arcos, Madrid",san-blas,40.4241104,-3.6176199,"calle de los Herbolarios, Arcos, Madrid, España",True
"Ático en calle Imperial, Sol, Madrid",centro,40.414603,-3.7070337,"calle Imperial, Sol, Madrid, España",True
"Piso en calle de Juan de Vera, 4, Delicias, Madrid",arganzuela,40.3967843,-3.6900384,"Delicias, Madrid, España",True
"Piso en calle de Lombía, Goya, Madrid",barrio-de-salamanca,40.4254428,-3.6725449,"calle de Lombía, Goya, Madrid, España",True
"Ático en calle de Tomás López, Goya, Madrid",barrio-de-salamanca,40.4263993,-3.6697637,"calle de Tomás López, Goya, Madrid, España",True
"Piso en Sanchinarro, Madrid",hortaleza,40.4931887,-3.6564023,"Sanchinarro, Madrid, España",True
"Ático en calle de Don Ramón de la Cruz, Goya, Madrid",barrio-de-salamanca,40.4287653,-3.6768509,"calle de Don Ramón de la Cruz, Goya, Madrid, España",True
"Piso en Opañel, Madrid",carabanchel,40.3903949,-3.7221926,"Opañel, Madrid, España",True
"Piso en calle del Marqués de la Ensenada, Chueca-Justicia, Madrid",centro,40.4246487,-3.692479,"calle del Marqués de la Ensenada, Madrid, España",True
"Piso en Alameda de Osuna, Madrid",barajas,40.4575814,-3.5879745,"Alameda de Osuna, Madrid, España",True
"Dúplex en Jerónimos, Madrid",retiro,40.4160929,-3.6892674,"Jerónimos, Madrid, España",True
"Piso en calle Santa Engracia, 96, Almagro, Madrid",chamberi,40.4380899,-3.6999172,"calle Santa Engracia, 96, Almagro, Madrid, España",True
"Piso en calle de San Bernardo, Malasaña-Universidad, Madrid",centro,40.4291867,-3.7058848,"calle de San Bernardo, Malasaña-Universidad, Madrid, España",True
"Piso en calle de Mariano Vela, Moscardó, Madrid",usera,40.3856897,-3.7109618,"calle de Mariano Vela, Moscardó, Madrid, España",True
"Piso en calle de Francisco Silvela, Guindalera, Madrid",barrio-de-salamanca,40.4337356,-3.6734886,"calle de Francisco Silvela, Guindalera, Madrid, España",True
"Piso en calle Gómez de Arteche, s/n, Buena Vista, Madrid",carabanchel,40.3693731,-3.7554453,"calle Gómez de Arteche, Madrid, España",True
"Piso en calle Lola de Membrives, Opañel, Madrid",carabanchel,40.3964229,-3.7166855,"calle Lola de Membrives, Opañel, Madrid, España",True
"Piso en calle de Mesena, 82, Pinar del Rey, Madrid",hortaleza,40.465263,-3.6618276,"calle de Mesena, 82, Pinar del Rey, Madrid, España",True
"Piso en Sol, Madrid",centro,40.4178272,-3.7022221,"Sol, Madrid, España",True
"Ático en calle San Juan de Ortega, Las Tablas, Madrid",fuencarral,40.5084962,-3.6743144,"calle San Juan de Ortega, Las Tablas, Madrid, España",True
"Piso en calle Escandón, Villaverde Alto, Madrid",villaverde,40.3452847,-3.7102612,"calle Escandón, Villaverde Alto, Madrid, España",True
"Piso en calle del Príncipe de Vergara, Goya, Madrid",barrio-de-salamanca,40.4282213,-3.6798439,"calle del Príncipe de Vergara, Goya, Madrid, España",True
"Piso en avenida Real de Pinto, 55, Villaverde Alto, Madrid",villaverde,40.3430681,-3.7070327,"avenida Real de Pinto, 55, Villaverde Alto, Madrid, España",True
"Piso en calle de Arrieta, Palacio, Madrid",centro,40.4191259,-3.7107925,"calle de Arrieta, Palacio, Madrid, España",True
"Piso en calle de Fernández de los Ríos, 68, Gaztambide, Madrid",chamberi,40.4353554,-3.7123659,"calle de Fernández de los Ríos, 68, Gaztambide, Madrid, España",True
"Casa o chalet independiente en Peñagrande, Madrid",fuencarral,40.426213,-3.7009931,"fuencarral, Madrid, España",True
"Piso en calle de las Flautas, 46, Pau de Carabanchel, Madrid",carabanchel,40.3704427,-3.7685109,"calle de las Flautas, 46, Madrid, España",True
"Chalet pareado en calle de Vainilla, Campamento, Madrid",latina,40.3946832,-3.7682788,"Campamento, Madrid, España",True
"Chalet pareado en Peñagrande, Madrid",fuencarral,40.426213,-3.7009931,"fuencarral, Madrid, España",True
"Piso en calle del Carril de los Caleros, Aravaca, Madrid",moncloa,40.457749,-3.7827941,"Aravaca, Madrid, España",True
"Piso en calle de la Paz, Sol, Madrid",centro,40.4156837,-3.7039271,"calle de la Paz, Sol, Madrid, España",True
"Casa o chalet independiente en avenida Osa Mayor, 189, Aravaca, Madrid",moncloa,40.457749,-3.7827941,"Aravaca, Madrid, España",True
"Piso en paseo de las Delicias, 42, Palos de la Frontera, Madrid",arganzuela,40.4032401,-3.6939428,"paseo de las Delicias, 42, Palos de la Frontera, Madrid, España",True
"Ático en calle de Víctor de la Serna, Bernabéu-Hispanoamérica, Madrid",chamartin,40.4559156,-3.6703327,"calle de Víctor de la Serna, Madrid, España",True
"Piso en calle del Labrador, Acacias, Madrid",arganzuela,40.4019424,-3.7016259,"calle del Labrador, Acacias, Madrid, España",True
